frequency,avgNoisy,avgData,postFiltering
32.2,204.58536,4.6810374,5.0003695
32.4,206.30847,4.611397,4.7074437
32.600002,203.58911,4.5508456,4.2244797
32.8,200.79187,4.6767807,4.654471
33.0,202.36572,4.6631465,5.016482
33.2,204.9173,4.6387115,5.512092
33.4,205.98155,4.4905624,4.682159
33.600002,199.23099,4.4998994,4.6868043
33.8,197.21964,4.3921466,4.297932
34.0,199.2009,4.254069,4.395738
34.2,201.90677,4.44365,4.5914145
34.4,198.479,4.3513064,4.750571
34.600002,199.9435,4.338867,4.0222106
34.8,200.36238,4.3654666,4.3650813
35.0,200.54222,4.1652007,4.208043
35.2,204.93782,4.134337,4.3971868
35.4,204.03989,4.3297205,4.6012197
35.600002,204.35457,4.217326,4.598957
35.8,206.26263,4.2499437,4.512405
36.0,206.72015,4.22866,4.4710855
36.2,203.78204,4.0209384,4.07049
36.4,205.17078,4.077269,4.4805613
36.600002,203.28273,4.1027865,4.8247333
36.8,205.94641,4.0812216,3.9751003
37.0,203.68185,4.0611258,4.4201264
37.2,204.19196,4.0102553,3.5996425
37.4,204.58205,4.1440506,3.4203346
37.600002,204.3269,4.120604,4.1114473
37.8,198.18546,4.1980834,4.488891
38.0,201.21527,4.167033,4.474107
38.2,205.68521,4.1684437,4.212853
38.4,205.21484,3.9766777,3.705707
38.600002,200.99127,3.8640397,3.9906764
38.8,203.7507,3.8758094,3.5062954
39.0,205.07169,3.9722815,4.205695
39.2,199.51111,3.9809487,4.1148806
39.4,206.40929,3.8693676,3.9701557
39.600002,201.63446,3.7678757,3.566017
39.8,204.99945,3.7045786,3.847548
40.0,202.03807,3.798381,4.344875
40.2,204.91644,3.77072,3.9694335
40.4,201.5321,3.6313536,3.9015825
40.600002,203.11563,3.6094255,3.6184003
40.8,202.08363,3.5329697,3.557424
41.0,198.92537,3.5470614,3.659687
41.2,203.38647,3.657403,4.169791
41.4,199.94777,3.6748042,3.5134206
41.600002,202.72382,3.6419075,3.5124238
41.8,202.16232,3.6153748,3.2680066
42.0,205.60191,3.5351741,3.8786879
42.2,201.99863,3.6582756,4.145772
42.4,202.17574,3.8876398,3.5744467
42.600002,205.47623,3.7090662,3.3235795
42.8,205.24644,3.7478333,3.7554493
43.0,204.99008,3.4087112,3.7692406
43.2,199.77496,3.4322708,3.9648724
43.4,204.0693,3.6132822,3.6937592
43.600002,206.59607,3.5171554,3.6300862
43.8,203.99191,3.3994296,3.8633685
44.0,202.00552,3.3441322,3.4577322
44.2,202.55081,3.499265,3.646242
44.4,202.20859,3.5645661,3.7334406
44.600002,204.45609,3.515112,3.383473
44.8,203.59843,3.463112,3.3785326
45.0,202.99362,3.467038,3.2796178
45.2,204.3294,3.5073664,3.5371888
45.4,209.28903,3.488982,3.9160473
45.600002,209.57373,3.4105456,3.4262068
45.8,205.70575,3.3543499,3.8457725
46.0,205.03894,3.4512558,3.4434805
46.2,202.76941,3.469111,3.7116623
46.4,205.29326,3.4512095,3.9380767
46.600002,209.27989,3.6365645,3.8327417
46.8,204.74612,3.5413404,3.9104261
47.0,207.15134,3.3190575,3.3416579
47.2,207.57376,3.4073534,3.7484493
47.4,202.27332,3.379936,3.439638
47.600002,200.78131,3.3211598,2.9703298
47.8,202.59839,3.3314207,3.2430875
48.0,203.31995,3.2896674,3.6106808
48.2,202.86292,3.231814,3.378788
48.4,206.1811,3.362506,3.367111
48.600002,202.07855,3.4109588,3.4752326
48.8,206.7662,3.3512652,3.8550508
49.0,206.73901,3.352389,3.734846
49.2,204.5115,3.3539162,3.636311
49.4,204.13791,3.3503435,3.7150686
49.600002,201.80391,3.3119023,3.4632607
49.8,205.36923,3.3499649,3.3428416
50.0,204.2764,3.3504987,3.755932
50.2,204.14264,3.2871993,3.1041698
50.4,206.32184,3.3297515,2.8773026
50.600002,201.98016,3.3455658,3.5717385
50.8,206.69968,3.3211148,3.965948
51.0,208.79922,3.4663827,3.6606832
51.2,207.69226,3.44519,3.5095403
51.4,208.40558,3.2842753,3.5271378
51.600002,207.5086,3.4212086,3.109178
51.8,204.07458,3.3754272,3.5136104
52.0,206.56564,3.4910202,3.84184
52.2,205.79239,3.367831,3.4902823
52.4,204.21655,3.3847551,3.477749
52.600002,208.19153,3.3500917,3.655837
52.8,202.00381,3.3708088,3.908329
53.0,203.0132,3.3336132,3.623049
53.2,205.86375,3.4000957,3.6248903
53.4,204.28424,3.3328314,3.5297656
53.600002,201.6445,3.448741,3.5422115
53.8,201.58115,3.5106223,4.267073
54.0,201.9512,3.466128,3.595721
54.2,209.87422,3.3844376,3.5165086
54.4,207.75049,3.4314187,3.907713
54.600002,202.77823,3.4183698,3.629232
54.8,204.47385,3.3130453,2.9961705
55.0,206.24487,3.3164854,3.60861
55.2,203.5394,3.3490665,3.4840872
55.4,205.74881,3.3504806,3.0550437
55.600002,205.68727,3.3620791,3.3932307
55.8,202.80267,3.2610903,3.0458188
56.0,207.3248,3.288476,3.309099
56.2,202.54208,3.2063282,3.3621159
56.4,208.2233,3.250109,3.4458852
56.600002,206.86566,3.2849574,3.2742138
56.8,205.99782,3.2883537,3.7971365
57.0,207.0235,3.1880262,3.4501123
57.2,206.97928,3.2751594,3.669106
57.4,209.5766,3.216603,3.3559275
57.600002,202.79977,3.256588,3.360697
57.8,204.47528,3.2477984,3.6181524
58.0,205.0284,3.2960243,3.5042963
58.2,209.20352,3.2385378,2.9647589
58.4,200.13895,3.2094133,2.8800888
58.600002,210.76991,3.2679517,3.4501858
58.8,210.56091,3.2757506,3.2063088
59.0,205.78218,3.308791,3.8164997
59.2,210.85078,3.227024,3.7048254
59.4,206.73907,3.2092938,3.618669
59.600002,210.60902,3.2626204,3.35038
59.8,208.9108,3.2830007,3.5255582
60.0,204.25961,3.2286773,3.0755184
60.2,207.16692,3.216248,3.2700999
60.4,209.74113,3.2311118,3.8246572
60.600002,208.21516,3.219215,3.2735548
60.8,205.3118,3.2653306,3.1391165
61.0,203.45547,3.2304761,3.5523655
61.2,209.9545,3.2967074,3.2789257
61.4,203.9989,3.3581502,3.4984417
61.600002,205.39813,3.3146744,3.0072744
61.8,207.41621,3.3964756,3.5154192
62.0,209.6343,3.401385,3.2624626
62.2,208.27368,3.4442842,3.6366768
62.4,210.81683,3.5334885,3.5006597
62.600002,210.98161,3.3833039,3.2979693
62.8,207.85959,3.6119895,4.0835032
63.0,206.29207,3.6048656,3.7593224
63.2,207.97725,3.464179,3.5231652
63.4,211.05754,3.2843685,3.413807
63.600002,207.37906,3.3346536,3.0024283
63.8,207.1542,3.4180753,3.3905823
64.0,209.41635,3.3802333,3.3994024
64.200005,213.80048,3.4509864,3.800948
64.4,209.84793,3.5183666,3.4776547
64.6,205.24316,3.5555744,3.2813368
64.8,209.66977,3.6296954,3.64417
65.0,209.47984,3.6960971,3.4319625
65.200005,206.35497,3.6661282,3.3271039
65.4,207.09409,3.6175935,3.4331954
65.6,212.18579,3.7075438,3.658329
65.8,210.83635,3.648663,3.545623
66.0,206.67648,3.6787055,3.6093886
66.200005,203.60944,3.7280562,3.3506467
66.4,213.13245,3.850851,4.085751
66.6,210.89307,3.768542,3.9539258
66.8,212.83496,3.7933533,4.1778874
67.0,213.53906,3.7491615,4.110603
67.200005,206.22212,3.867079,3.4861639
67.4,210.52385,3.8593335,4.0022445
67.6,210.83916,3.8039725,3.3556645
67.8,213.16663,3.848552,3.9311361
68.0,209.81294,3.9393916,3.7811666
68.200005,209.1925,3.9298556,4.6403623
68.4,209.10834,4.0182076,4.1260176
68.6,206.66458,4.0497966,3.8396173
68.8,209.54108,4.044715,4.2583585
69.0,214.37198,3.9845972,4.582569
69.200005,210.47058,4.129168,4.8193235
69.4,206.11383,3.9746168,3.5806918
69.6,209.6437,4.1113944,4.3489056
69.8,209.52342,4.100732,4.0638933
70.0,207.9355,4.2580533,4.243086
70.200005,207.76416,4.108926,4.71355
70.4,207.07172,4.1051555,4.556074
70.6,203.93042,4.2448354,4.5168824
70.8,206.83179,4.3839154,4.309763
71.0,211.74889,4.439436,4.646107
71.200005,211.02493,4.3823347,4.114091
71.4,205.91937,4.3098364,4.574352
71.6,209.27368,4.5166306,4.7239366
71.8,212.12244,4.5236588,4.53822
72.0,211.88184,4.447242,4.3730206
72.200005,215.05035,4.5030627,4.9638524
72.4,210.57892,4.536725,4.7092485
72.6,206.60246,4.6815457,4.2890162
72.8,206.27763,4.8297014,4.603252
73.0,207.97585,4.6511636,3.9764714
73.200005,209.19601,4.7269025,4.406748
73.4,210.49333,4.6288896,4.2289534
73.6,209.99734,4.829851,4.861407
73.8,211.15717,4.8122005,4.8396864
74.0,211.12628,4.749049,4.7978373
74.200005,209.28513,4.8238707,5.056293
74.4,208.65466,4.921081,5.929425
74.6,211.85992,5.0336103,5.160418
74.8,207.9183,5.1597958,5.0026197
75.0,208.91353,5.0297885,5.0144987
75.200005,209.11572,5.1398315,4.7532587
75.4,217.82874,5.3065295,6.7156878
75.6,210.78546,5.3006263,4.636217
75.8,210.33218,5.375361,5.517093
76.0,208.608,5.383679,4.918618
76.200005,209.29094,5.299685,5.9292846
76.4,212.09601,5.555297,5.79979
76.6,212.56583,5.502449,6.025451
76.8,210.9357,5.5427704,5.9876056
77.0,212.34549,5.604795,5.901617
77.200005,214.81943,5.9491057,6.276386
77.4,214.92618,6.099277,7.205067
77.6,212.16547,6.100815,6.6487303
77.8,211.42627,6.0216737,6.355825
78.0,213.15292,5.8920774,5.5215254
78.200005,210.56519,6.421092,6.4771867
78.4,212.61472,6.3521757,6.838459
78.6,212.56406,6.373487,6.702793
78.8,211.05334,6.273872,6.615693
79.0,211.46805,6.3628173,7.4677653
79.200005,212.72185,6.5234118,6.9206376
79.4,210.72792,6.727628,5.9235244
79.6,214.85495,6.6712785,6.4381957
79.8,210.31241,6.766513,7.1547966
