offset, x, y
2737, 0, 1
5875, 1, 0
395, 0, 1
8580, 0, 1
12281, 1, 0
4706, 1, 0
2913, 1, 0
1989, 1, 0
1869, 1, 0
1500, 1, 0
1513, 0, -1
82, 1, 0
1271, 1, 0
638, 0, -1
604, 1, 0
1020, 1, -1
1339, 1, 0
124, 0, -1
875, 1, 0
376, 0, -1
511, 1, 0
659, 0, -1
355, 1, 0
723, 0, -1
124, 1, 0
892, 1, -1
841, 1, 0
125, 0, -1
775, 1, -1
761, 1, 0
91, 0, -1
780, 1, 0
96, 0, -1
624, 1, -1
782, 0, -1
93, 1, 0
661, 0, -1
89, 1, 0
499, 0, -1
251, 1, 0
532, 0, -1
217, 1, 0
251, 0, -1
532, 1, 0
217, 0, -1
536, 1, -1
589, 1, -1
658, 0, -1
93, 1, 0
530, 0, -1
219, 1, 0
250, 0, -1
376, 1, 0
125, 0, -1
535, 1, -1
621, 0, -1
94, 1, 0
408, 0, -1
217, 1, 0
249, 0, -1
534, 1, -1
593, 0, -1
124, 1, 0
249, 0, -1
251, 1, 0
403, 0, -1
97, 1, 0
249, 0, -1
535, 1, -1
496, 0, -1
95, 1, 0
528, 0, -1
221, 1, 0
126, 0, -1
533, 1, -1
469, 0, -1
124, 1, 0
374, 0, -1
386, 1, -1
524, 0, -1
90, 1, 0
408, 0, -1
429, 1, 0
38, 0, -1
542, 0, -1
84, 1, 0
296, 0, -1
453, 1, -1
548, 0, -1
77, 1, 0
249, 0, -1
545, 0, -1
82, 1, 0
422, 0, -1
327, 1, -1
547, 0, -1
327, 1, 0
126, 0, -1
421, 0, -1
328, 1, 0
250, 0, -1
422, 0, -1
79, 1, 0
249, 0, -1
625, 0, -1
126, 1, 0
406, 0, -1
344, 0, -1
124, 1, 0
377, 0, -1
551, 0, -1
196, 1, 0
280, 0, -1
501, 0, -1
234, 1, 0
234, 0, -1
375, 0, -1
655, 0, -1
98, 1, 0
374, 0, -1
535, 0, -1
468, 0, -1
121, 1, 0
689, 0, -1
312, 0, -1
539, 0, -1
337, 1, 0
125, 0, -1
538, 0, -1
711, 0, -1
562, 0, -1
610, 0, -1
637, 0, -1
658, 0, -1
661, 0, -1
824, 0, -1
601, 0, -1
823, 0, -1
815, 0, -1
725, 0, -1
460, -1, 0
414, 0, -1
1003, -1, -1
707, 0, -1
510, -1, 0
617, 0, -1
539, -1, 0
750, 0, -1
335, -1, 0
625, 0, -1
125, -1, 0
875, 0, -1
125, -1, 0
874, -1, 0
376, 0, -1
414, -1, 0
627, 0, -1
85, -1, 0
624, -1, 0
501, 0, -1
125, -1, 0
665, -1, 0
476, -1, -1
774, -1, 0
486, -1, -1
536, -1, 0
312, -1, 0
375, 0, -1
252, -1, 0
497, -1, 0
448, -1, 0
82, 0, -1
392, -1, 0
533, -1, 0
348, -1, 0
74, 0, -1
378, -1, 0
423, -1, 0
323, -1, 0
250, -1, -1
549, -1, 0
326, -1, 0
384, -1, 0
264, -1, 0
103, 0, -1
250, -1, 0
374, -1, 0
249, -1, 0
413, -1, 0
337, -1, 0
127, 0, -1
248, -1, 0
250, -1, 0
375, -1, 0
250, -1, 0
413, -1, 0
212, -1, 0
251, -1, -1
249, -1, 0
414, -1, 0
211, -1, 0
414, -1, 0
211, -1, 0
250, -1, 0
251, -1, 0
249, -1, 0
413, -1, 0
212, -1, 0
126, 0, -1
125, -1, 0
249, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
254, -1, 0
250, -1, 0
249, -1, 0
250, -1, 0
125, -1, 0
250, -1, 0
250, -1, 0
251, -1, 0
248, -1, 0
126, -1, 0
249, -1, 0
250, -1, 0
127, -1, 0
249, -1, 0
249, -1, 0
250, -1, 0
251, -1, 0
125, -1, 0
250, -1, 0
125, -1, 0
249, -1, 0
251, -1, 0
125, -1, 0
250, -1, 0
125, -1, 0
249, -1, 0
251, -1, 0
125, -1, 0
250, -1, 0
248, -1, 0
127, -1, 0
250, -1, 0
249, -1, 0
126, -1, 0
262, -1, 0
118, -1, 0
148, -1, 0
221, -1, 0
251, -1, 0
125, -1, 0
250, -1, 0
125, -1, 0
249, -1, 0
126, -1, 0
125, -1, 0
249, -1, 0
126, 0, 1
124, -1, 0
126, -1, 0
124, -1, 0
250, -1, 0
126, -1, 0
249, -1, 0
126, -1, 0
125, -1, 0
249, -1, 0
250, -1, 0
126, -1, 0
125, -1, 0
126, 0, 1
125, -1, 0
124, -1, 0
125, -1, 0
249, -1, 0
126, -1, 0
125, -1, 0
250, -1, 0
125, -1, 0
249, -1, 1
125, -1, 0
126, -1, 0
124, -1, 0
250, -1, 0
126, -1, 0
124, -1, 0
250, -1, 0
126, -1, 0
133, -1, 0
116, 0, 1
127, -1, 0
124, -1, 0
249, -1, 0
125, -1, 0
126, -1, 0
249, -1, 0
126, -1, 1
124, -1, 0
125, -1, 0
250, -1, 0
125, -1, 0
126, -1, 0
249, -1, 0
125, -1, 0
125, -1, 1
125, -1, 0
250, -1, 0
125, -1, 0
125, -1, 0
249, -1, 0
127, -1, 1
125, -1, 0
125, -1, 0
125, -1, 0
249, -1, 0
127, -1, 0
123, -1, 0
249, -1, 1
126, -1, 0
126, -1, 0
124, -1, 0
125, -1, 0
249, -1, 0
126, -1, 0
