616, 0, 0
3622, -1, 0
5159, -1, 0
17217, -1, 0
4495, -1, 0
1611, -1, 0
1376, -1, 0
114, 0, 1
871, -1, 0
752, -1, 0
122, 0, 1
510, -1, 0
637, -1, 0
248, 0, 1
245, -1, 0
505, -1, 0
245, 0, 1
113, -1, 0
517, -1, 0
246, -1, 1
516, -1, 0
238, 0, 1
116, -1, 0
250, -1, 0
249, -1, 0
126, 0, 1
250, -1, 0
252, -1, 0
131, 0, 1
120, -1, 0
251, -1, 0
243, -1, 1
376, -1, 0
121, 0, 1
126, -1, 0
252, -1, 0
121, -1, 0
127, 0, 1
123, -1, 0
248, -1, 0
126, 0, 1
122, -1, 0
293, -1, 0
100, 0, 1
126, -1, 0
247, -1, 0
105, 0, 1
152, -1, 0
92, -1, 0
250, -1, 1
248, -1, 0
252, -1, 1
247, -1, 0
126, -1, 0
126, 0, 1
126, -1, 0
248, -1, 0
126, -1, 1
252, -1, 0
247, -1, 1
127, -1, 0
249, -1, 0
123, 0, 1
125, -1, 0
125, -1, 0
320, -1, 1
57, -1, 0
250, -1, 0
125, -1, 0
126, 0, 1
126, -1, 0
124, -1, 0
126, 0, 1
124, -1, 0
251, -1, 0
127, -1, 0
124, -1, 1
249, -1, 0
123, -1, 0
126, 0, 1
124, -1, 0
248, -1, 1
125, -1, 0
125, -1, 0
250, -1, 0
128, -1, 1
248, -1, 0
126, -1, 0
250, -1, 1
126, -1, 0
126, -1, 0
246, -1, 1
125, -1, 0
126, -1, 0
253, -1, 1
126, -1, 0
250, -1, 0
126, -1, 0
125, -1, 0
121, 0, 1
126, -1, 0
124, -1, 0
125, -1, 0
250, -1, 1
125, -1, 0
124, -1, 0
249, -1, 1
126, -1, 0
125, -1, 0
250, -1, 0
125, -1, 0
126, -1, 1
247, -1, 0
126, -1, 0
126, -1, 0
124, -1, 0
126, 0, 1
125, -1, 0
124, -1, 0
126, -1, 0
249, -1, 0
126, -1, 1
124, -1, 0
126, -1, 0
125, -1, 0
249, -1, 1
125, -1, 0
125, -1, 0
126, -1, 0
124, -1, 0
250, -1, 1
125, -1, 0
126, -1, 0
249, -1, 0
126, -1, 0
124, -1, 0
126, -1, 0
125, -1, 1
125, -1, 0
249, -1, 0
127, -1, 0
124, -1, 1
124, -1, 0
126, -1, 0
124, -1, 0
126, -1, 0
256, -1, 0
129, -1, 0
114, -1, 1
125, -1, 0
126, -1, 0
250, -1, 0
124, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
127, -1, 1
124, -1, 0
125, -1, 0
248, -2, 0
251, -1, 0
125, -1, 0
125, -1, 1
126, -1, 0
124, -1, 0
125, -1, 0
125, -1, 0
249, -1, 0
126, -1, 0
125, -1, 1
126, -1, 0
124, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
126, -1, 0
124, -1, 0
250, -2, 0
250, -1, 1
125, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
126, -1, 0
124, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
249, -1, 1
127, -1, 0
124, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
126, -1, 0
125, -1, 0
124, -1, 0
175, -1, 0
110, -1, 0
89, -1, 0
125, -1, 0
127, -1, 0
134, -1, 0
115, -1, 0
249, -1, 0
125, -1, 0
125, -1, 1
125, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
126, -1, 0
124, -1, 0
125, -1, 0
249, -1, 0
126, -1, 0
125, -1, 0
125, -1, 0
126, -1, 0
124, -1, 0
125, -1, 0
249, -1, 0
126, -1, 0
125, -1, 0
126, -1, 0
125, -1, 0
248, -1, 0
126, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
125, -1, 0
250, -1, 0
125, -1, 0
125, -1, 0
249, -1, 0
126, -1, 0
125, -1, 0
126, -1, 0
124, -1, 0
251, -1, 0
125, -1, -1
126, -1, 0
248, -1, 0
126, -1, 0
124, -1, 0
251, -1, 0
125, -1, 0
124, -1, 0
147, -1, 0
232, -1, 0
123, -1, -1
251, -1, 0
123, -1, 0
130, -1, 0
245, -1, 0
161, -1, 0
250, -1, 0
124, -1, 0
124, -1, -1
248, -1, 0
220, -1, 0
123, -1, 0
125, -1, 0
249, -1, -1
253, -1, 0
124, -1, 0
250, -1, 0
250, -1, 0
124, -1, -1
250, -1, 0
125, -1, 0
249, -1, 0
250, -1, -1
126, -1, 0
250, -1, 0
251, -1, 0
125, 0, -1
125, -1, 0
125, -1, 0
251, -1, -1
251, -1, 0
250, -1, 0
249, -1, 0
126, -1, -1
247, -1, 0
251, -1, -1
250, -1, 0
249, -1, 0
251, -1, -1
377, -1, -1
249, -1, 0
248, -1, 0
126, 0, -1
128, -1, 0
248, -1, 0
127, 0, -1
248, -1, 0
249, -1, -1
376, -1, 0
125, 0, -1
124, -1, 0
250, -1, -1
413, -1, 0
89, 0, -1
249, -1, 0
124, 0, -1
251, -1, 0
125, 0, -1
248, -1, 0
250, 0, -1
126, -1, 0
251, 0, -1
249, -1, 0
125, 0, -1
413, -1, -1
463, -1, -1
377, 0, -1
124, -1, 0
250, 0, -1
250, 0, -1
123, -1, 0
249, 0, -1
376, -1, -1
375, 0, -1
374, 0, -1
126, -1, 0
249, 0, -1
253, 0, -1
376, 0, -1
253, -1, 0
120, 0, -1
373, 0, -1
250, 0, -1
377, 0, -1
377, 0, -1
247, 0, -1
374, 0, -1
251, 0, -1
375, 0, -1
251, 0, -1
373, 0, -1
375, 0, -1
250, 0, -1
401, 0, -1
224, 0, -1
376, 0, -1
250, 0, -1
400, 1, -1
225, 0, -1
401, 0, -1
99, 1, 0
124, 0, -1
401, 0, -1
224, 1, -1
401, 0, -1
374, 1, -1
224, 0, -1
404, 1, -1
220, 0, -1
250, 1, 0
126, 0, -1
249, 0, -1
126, 1, 0
249, 0, -1
251, 1, -1
375, 1, -1
253, 0, -1
125, 1, 0
248, 0, -1
126, 1, 0
125, 0, -1
373, 1, -1
251, 0, -1
125, 1, 0
250, 0, -1
125, 1, 0
126, 0, -1
248, 1, 0
125, 0, -1
249, 1, 0
127, 0, -1
124, 1, 0
125, 0, -1
249, 1, 0
126, 0, -1
249, 1, 0
127, 0, -1
124, 1, 0
125, 0, -1
249, 1, 0
127, 0, -1
126, 1, 0
125, 0, -1
251, 1, 0
123, 0, -1
125, 1, 0
249, 0, -1
127, 1, 0
250, 1, -1
272, 1, -1
261, 1, 0
126, 0, -1
249, 1, 0
96, 0, -1
165, 1, 0
206, 1, -1
248, 1, 0
126, 0, -1
126, 1, 0
249, 1, -1
249, 1, -1
252, 1, 0
124, 0, -1
250, 1, 0
125, 1, -1
249, 1, 0
126, 0, -1
125, 1, 0
249, 1, -1
251, 1, 0
252, 0, -1
251, 1, 0
125, 1, -1
125, 1, 0
124, 0, -1
124, 1, 0
124, 1, 0
253, 1, -1
251, 1, -1
248, 1, 0
249, 1, -1
249, 1, -1
128, 1, 0
248, 1, 0
127, 0, -1
124, 1, 0
126, 1, 0
123, 0, -1
125, 1, 0
249, 1, -1
251, 1, 0
125, 1, 0
125, 0, -1
125, 1, 0
250, 1, -1
125, 1, 0
250, 1, -1
249, 1, 0
126, 1, -1
249, 1, 0
250, 1, -1
127, 1, 0
248, 1, -1
250, 1, 0
126, 1, -1
250, 1, 0
249, 1, -1
126, 1, 0
132, 1, 0
196, 0, -1
48, 1, 0
354, 1, -1
19, 1, 0
239, 1, 0
182, 1, -1
313, 1, 0
26, 1, 0
126, 0, -1
124, 1, 0
126, 1, 0
121, 0, -1
129, 1, 0
123, 1, 0
252, 1, -1
124, 1, 0
124, 1, 0
249, 1, -1
251, 1, 0
126, 1, 0
122, 1, -1
253, 1, 0
116, 1, -1
180, 1, 0
201, 1, 0
126, 1, -1
243, 1, 0
132, 1, 0
124, 0, -1
122, 1, 0
132, 1, 0
124, 1, -1
250, 1, 0
126, 1, 0
129, 1, 0
114, 0, -1
132, 1, 0
124, 1, 0
125, 1, 0
126, 0, -1
116, 1, 0
125, 1, 0
249, 1, -1
126, 1, 0
125, 1, 0
125, 1, 0
126, 0, -1
124, 1, 0
125, 1, 0
126, 1, 0
124, 1, -1
249, 1, 0
126, 1, 0
125, 1, -1
249, 1, 0
127, 1, 0
124, 1, -1
249, 1, 0
126, 1, 0
125, 1, 0
125, 1, -1
125, 1, 0
249, 1, 0
126, 1, -1
125, 1, 0
125, 1, 0
125, 1, 0
251, 1, -1
125, 1, 0
124, 1, 0
125, 1, 0
125, 1, -1
249, 1, 0
126, 1, 0
125, 1, 0
125, 1, -1
125, 1, 0
249, 1, 0
128, 1, 0
125, 1, -1
124, 1, 0
125, 1, 0
125, 1, 0
248, 1, -1
125, 1, 0
126, 1, 0
124, 1, 0
125, 1, 0
126, 1, -1
125, 1, 0
124, 1, 0
126, 1, 0
249, 1, -1
126, 1, 0
125, 1, 0
124, 1, 0
126, 1, 0
125, 1, -1
125, 1, 0
125, 1, 0
124, 1, 0
250, 1, -1
125, 1, 0
127, 1, 0
124, 1, 0
125, 1, 0
125, 1, 0
124, 1, 0
126, 1, -1
126, 1, 0
124, 1, 0
250, 2, 0
125, 0, -1
125, 2, 0
250, 1, 0
125, 1, 0
125, 1, 0
125, 1, -1
125, 1, 0
125, 1, 0
125, 1, 0
124, 1, 0
125, 1, 0
126, 1, 0
125, 1, -1
125, 1, 0
124, 1, 0
126, 1, 0
125, 1, 0
125, 1, 0
124, 1, -1
126, 1, 0
124, 1, 0
126, 1, 0
125, 1, 0
125, 1, 0
125, 1, -1
