offset, x, y
9959, -1, 0
1991, 0, 1
1382, -1, 0
29238, 0, 1
4731, 0, 1
3775, 1, 0
382, 0, 1
5505, 0, 1
3223, 1, 0
7117, 0, 1
13499, 0, 1
1739, 1, 0
5157, 0, 1
96, 1, 0
3629, 1, 0
368, 0, 1
2049, 1, 0
1341, 0, 1
758, 1, 0
1647, 1, 0
458, 0, 1
872, 1, 0
1629, 1, 0
624, 0, 1
906, 1, 0
1121, 1, 0
222, 0, 1
1533, 1, 0
1123, 1, 0
98, 0, 1
1121, 1, 0
1157, 1, 0
561, 0, 1
662, 1, 0
1122, 1, 0
1025, 1, 0
755, 0, 1
466, 1, 0
1001, 1, 0
1021, 1, 0
1021, 1, 0
870, 1, 0
999, 1, 0
996, 1, 0
875, 1, 0
726, 1, 0
895, 1, 0
756, 1, 0
873, 1, 0
95, 0, -1
497, 1, 0
882, 1, 0
753, 1, -1
766, 1, 0
723, 1, 0
386, 0, -1
236, 1, 0
750, 1, 0
428, 0, -1
322, 1, 0
661, 1, 0
93, 0, -1
674, 1, 0
490, 1, -1
866, 1, 0
216, 0, -1
250, 1, 0
630, 0, -1
124, 1, 0
655, 1, 0
343, 0, -1
249, 1, 0
634, 1, -1
618, 1, 0
247, 0, -1
513, 1, 0
362, 0, -1
128, 1, 0
628, 0, -1
123, 1, 0
530, 1, 0
95, 0, -1
497, 1, 0
249, 0, -1
251, 1, 0
374, 0, -1
251, 1, 0
534, 0, -1
93, 1, 0
658, 1, -1
589, 1, -1
427, 1, 0
461, 0, -1
116, 1, 0
371, 0, -1
427, 1, 0
324, 1, -1
662, 1, -1
587, 1, -1
534, 1, -1
591, 1, -1
505, 1, 0
246, 0, -1
249, 1, 0
252, 0, -1
248, 1, 0
375, 0, -1
128, 1, 0
531, 0, -1
94, 1, 0
372, 0, -1
128, 1, 0
530, 1, -1
467, 1, 0
128, 0, -1
374, 1, 0
126, 0, -1
372, 1, 0
128, 0, -1
425, 1, 0
198, 0, -1
374, 1, -1
540, 1, 0
210, 0, -1
128, 1, 0
414, 0, -1
86, 1, 0
373, 0, -1
127, 1, 0
419, 1, 0
82, 0, -1
378, 1, 0
259, 0, -1
245, 1, 0
244, 0, -1
263, 1, 0
244, 0, -1
244, 1, 0
376, 1, -1
373, 1, 0
134, 0, -1
514, 1, 0
110, 0, -1
250, 1, 0
245, 0, -1
470, 1, 0
398, 1, 0
263, 0, -1
114, 1, -1
251, 1, 0
450, 0, -1
52, 1, 0
375, 1, 0
123, 0, -1
253, 1, 0
372, 0, -1
127, 1, 0
372, 1, 0
127, 0, -1
248, 1, 0
374, 0, -1
129, 1, 0
534, 1, -1
341, 1, 0
248, 0, -1
127, 1, 0
371, 1, 0
128, 0, -1
374, 1, 0
126, 0, -1
247, 1, 0
374, 1, 0
129, 0, -1
248, 1, 0
374, 1, -1
548, 1, -1
332, 1, 0
370, 1, -1
376, 1, 0
250, 0, -1
127, 1, 0
372, 1, 0
128, 0, -1
247, 1, 0
428, 1, 0
75, 0, -1
372, 1, 0
252, 1, 0
126, 0, -1
260, 1, 0
363, 0, -1
140, 1, 0
236, 1, 0
377, 1, -1
372, 1, 0
375, 1, -1
375, 1, 0
375, 1, -1
377, 1, 0
375, 1, -1
258, 1, 0
474, 1, 0
127, 0, -1
125, 1, 0
512, 1, 0
245, 0, -1
117, 1, 0
247, 1, 0
251, 1, -1
565, 1, 0
184, 1, 0
250, 0, -1
129, 1, 0
403, 1, 0
344, 1, 0
127, 0, -1
125, 1, 0
402, 1, 0
375, 1, -1
220, 1, 0
532, 1, 0
106, 0, -1
115, 1, 0
404, 1, 0
221, 1, 0
248, 0, -1
128, 1, 0
428, 1, 0
348, 1, 0
220, 0, -1
128, 1, 0
372, 1, 0
250, 1, 0
250, 0, -1
128, 1, 0
373, 1, 0
249, 1, 0
407, 1, -1
343, 1, 0
250, 1, 0
406, 1, 0
109, 0, -1
235, 1, 0
406, 1, 0
219, 1, 0
404, 1, 0
102, 0, -1
122, 1, 0
528, 1, 0
219, 1, 0
376, 1, -1
250, 1, 0
406, 1, 0
218, 1, 0
376, 0, -1
137, 1, 0
363, 1, 0
251, 1, 0
382, 1, 0
369, 1, 0
134, 0, -1
125, 1, 0
521, 1, 0
848, 1, 0
256, 1, 0
125, 1, -1
125, 1, 0
363, 1, 0
376, 1, 0
409, 1, -1
340, 1, 0
532, 1, 0
352, 1, 0
244, 0, -1
135, 1, 0
395, 1, 0
343, 1, 0
501, 1, 0
376, 1, 0
135, 0, -1
238, 1, 0
531, 1, 0
344, 1, 0
499, 1, 0
505, 1, 0
133, 0, -1
489, 1, 0
876, 1, -1
1377, 1, -1
1249, 0, -1
1124, 0, -1
1376, 0, -1
1627, 0, -1
1621, 0, -1
1414, 0, -1
1865, 0, -1
1630, -1, -1
2070, 0, -1
22, -1, 0
1912, 0, -1
335, -1, 0
1424, 0, -1
591, -1, 0
785, 0, -1
1123, -1, 0
625, 0, -1
1331, -1, 0
372, 0, -1
1012, -1, 0
408, 0, -1
1255, -1, 0
324, 0, -1
1043, -1, 0
438, 0, -1
807, -1, 0
504, 0, -1
606, -1, 0
766, 0, -1
462, -1, 0
795, 0, -1
83, -1, 0
917, -1, 0
330, 0, -1
831, -1, 0
176, 0, -1
498, -1, 0
750, 0, -1
127, -1, 0
748, -1, 0
374, 0, -1
425, -1, 0
636, -1, 0
68, 0, -1
622, -1, 0
556, 0, -1
71, -1, 0
683, -1, 0
983, 0, -1
81, -1, 0
123, -1, 0
247, 0, -1
409, -1, 0
591, -1, -1
531, -1, 0
624, -1, -1
502, -1, 0
497, -1, 0
99, 0, -1
373, -1, 0
535, -1, 0
92, 0, -1
402, -1, 0
512, -1, 0
85, 0, -1
404, -1, 0
374, -1, 0
500, -1, 0
98, 0, -1
400, -1, 0
382, -1, 0
102, 0, -1
363, -1, 0
412, -1, 0
464, 0, -1
135, -1, 0
239, -1, 0
539, -1, 0
336, -1, -1
536, -1, 0
339, -1, 0
250, 0, -1
136, -1, 0
400, -1, 0
339, -1, 0
411, -1, -1
339, -1, 0
500, -1, 0
250, -1, 0
249, 0, -1
137, -1, 0
366, -1, 0
428, -1, 0
195, 0, -1
251, -1, 0
249, -1, 0
1083, -1, 0
180, -1, 0
123, -1, -1
125, -1, 0
241, -1, 0
374, -1, 0
139, 0, -1
234, -1, 0
376, -1, 0
249, -1, 0
414, -1, 0
337, -1, 0
136, 0, -1
125, -1, 0
445, -1, 0
295, -1, 0
249, -1, 0
375, -1, 0
415, -1, -1
210, -1, 0
413, -1, 0
212, -1, 0
379, -1, 0
374, -1, 0
246, -1, 0
251, 0, -1
127, -1, 0
247, -1, 0
438, -1, 0
187, -1, 0
375, -1, 0
250, -1, 0
409, -1, 0
341, -1, 0
252, -1, 0
249, -1, 0
250, 0, -1
127, -1, 0
411, -1, 0
212, -1, 0
251, -1, 0
249, -1, 0
414, -1, 0
211, -1, 0
413, -1, 0
211, -1, 0
416, -1, 0
210, -1, 0
374, -1, 0
251, -1, 0
413, -1, 0
212, -1, 0
250, -1, 0
250, -1, 0
383, -1, 0
243, -1, 0
249, -1, 0
777, -1, 0
231, -1, 0
174, -1, 0
162, -1, 0
157, -1, 0
376, -1, 0
247, -1, 0
408, -1, 0
217, -1, 0
250, -1, 0
250, -1, 0
408, -1, 0
217, -1, 0
427, -1, 0
198, -1, 0
426, -1, 0
199, -1, 0
250, -1, 0
406, -1, 0
219, -1, 0
408, -1, 0
217, -1, 0
250, -1, 0
375, -1, 0
250, -1, 0
250, -1, 0
421, -1, 0
204, -1, 0
375, -1, 0
250, -1, 0
375, -1, 0
250, -1, 0
250, -1, 0
420, -1, 0
205, -1, 0
250, -1, 1
407, -1, 0
342, -1, 0
251, -1, 0
250, -1, 0
387, -1, 0
237, -1, 0
251, -1, 0
406, -1, 0
218, -1, 0
410, -1, 1
215, -1, 0
251, -1, 0
406, -1, 0
343, -1, 0
254, -1, 0
249, -1, 0
374, -1, 1
250, -1, 0
377, -1, 0
530, -1, 0
221, -1, 0
263, -1, 0
232, -1, 1
251, -1, 0
250, -1, 0
375, -1, 0
408, -1, 0
342, -1, 0
250, -1, 1
249, -1, 0
409, -1, 0
342, -1, 0
249, -1, 0
253, -1, 0
250, 0, 1
247, -1, 0
251, -1, 0
249, -1, 0
375, -1, 0
375, -1, 0
128, 0, 1
125, -1, 0
404, -1, 0
218, -1, 0
402, -1, 0
380, -1, 0
96, 0, 1
247, -1, 0
250, -1, 0
409, -1, 0
341, -1, 0
250, 0, 1
128, -1, 0
247, -1, 0
375, -1, 0
409, -1, 0
341, -1, 0
128, 0, 1
247, -1, 0
250, -1, 0
540, -1, 0
210, -1, 1
409, -1, 0
498, -1, 0
218, -1, 0
534, -1, 0
113, 0, 1
228, -1, 0
376, -1, 0
478, -1, 0
271, -1, 0
128, 0, 1
247, -1, 0
375, -1, 0
666, -1, 0
212, -1, 0
125, 0, 1
372, -1, 0
534, -1, 0
342, -1, 0
537, -1, 1
495, -1, 0
342, -1, 0
534, -1, 0
466, 0, 1
128, -1, 0
405, -1, 0
467, -1, 0
660, -1, 0
340, -1, 0
128, 0, 1
532, -1, 0
623, -1, 0
502, -1, 0
590, -1, 1
626, -1, 0
659, -1, 0
590, -1, 0
751, -1, 0
752, -1, 1
747, -1, 0
906, -1, 0
879, -1, 0
1096, -1, 0
1744, -1, 0
806, -1, 0
72, 0, 1
1791, -1, 0
3502, -1, 0
25492, 1, 0
7122, 1, 0
1764, 0, 1
2874, 1, 0
3264, 1, 0
762, 0, 1
2453, 1, 0
2628, 1, 0
635, 0, 1
1900, 1, 0
2230, 1, 0
1854, 1, 0
1387, 0, 1
359, 1, 0
1790, 1, 0
1365, 1, 0
1496, 1, 0
1355, 1, 0
1117, 1, 0
1247, 1, 0
1182, 1, 0
942, 1, 0
1019, 1, 0
986, 1, 0
906, 1, 0
878, 1, 0
841, 1, 0
750, 1, 0
890, 1, 0
723, 1, 0
619, 1, 0
908, 1, 0
626, 1, 0
840, 1, 0
658, 1, 0
592, 1, -1
747, 1, 0
508, 1, 0
749, 1, 0
530, 1, 0
751, 1, -1
475, 1, 0
538, 1, 0
577, 1, 0
625, 1, 0
625, 1, 0
250, 0, -1
249, 1, 0
626, 1, 0
529, 1, 0
542, 1, 0
429, 1, -1
631, 1, 0
621, 1, 0
248, 1, 0
627, 0, -1
125, 1, 0
502, 1, 0
377, 1, 0
625, 1, 0
504, 1, -1
500, 1, 0
499, 1, 0
499, 1, 0
422, 1, 0
196, 0, -1
255, 1, 0
496, 1, 0
498, 1, 0
753, 1, 0
258, 0, -1
116, 1, 0
247, 1, 0
531, 1, 0
470, 1, 0
127, 0, -1
401, 1, 0
401, 1, 0
475, 1, 0
426, 1, 0
353, 0, -1
69, 1, 0
528, 1, 0
470, 1, 0
403, 1, 0
221, 0, -1
250, 1, 0
404, 1, 0
502, 1, 0
397, 1, 0
381, 0, -1
69, 1, 0
511, 1, 0
362, 1, 0
418, 1, 0
458, 1, -1
374, 1, 0
502, 1, 0
499, 1, 0
249, 0, -1
250, 1, 0
375, 1, 0
418, 1, 0
457, 1, 0
250, 0, -1
137, 1, 0
529, 1, 0
459, 1, 0
417, 1, 0
340, 1, -1
556, 1, 0
492, 1, 0
324, 1, 0
250, 0, -1
855, 1, 0
154, 1, 0
237, 1, 0
379, 1, 0
132, 0, -1
239, 1, 0
536, 1, 0
340, 1, 0
545, 1, 0
204, 0, -1
250, 1, 0
375, 1, 0
501, 1, 0
415, 0, -1
87, 1, 0
411, 1, 0
502, 1, 0
498, 1, -1
503, 1, 0
496, 1, 0
503, 1, 0
334, 0, -1
128, 1, 0
558, 1, 0
440, 1, 0
375, 0, -1
127, 1, 0
497, 1, 0
500, 1, 0
415, 0, -1
210, 1, 0
544, 1, 0
622, 1, -1
626, 1, 0
617, 1, 0
382, 0, -1
87, 1, 0
539, 1, 0
711, 1, 0
247, 0, -1
382, 1, 0
533, 1, 0
485, 0, -1
225, 1, 0
779, 1, 0
506, 0, -1
214, 1, 0
906, 1, 0
499, 0, -1
220, 1, 0
779, 1, 0
721, 1, 0
128, 0, -1
911, 1, 0
617, 0, -1
219, 1, 0
1127, 1, 0
749, 0, -1
502, 1, 0
1043, 1, 0
745, 0, -1
897, 1, 0
1103, 0, -1
336, 1, 0
3434, 0, -1
208, 1, 0
4985, 0, -1
13454, 0, -1
