offset, x, y
3124, -1, 0
6487, -1, 0
8878, 0, -1
2864, -1, 0
3638, -1, 0
2120, -1, 0
1873, -1, 0
1621, -1, 0
1245, -1, 0
999, 0, -1
373, -1, 0
1375, -1, 0
1129, -1, 0
996, -1, 0
998, -1, 0
127, 0, -1
875, -1, 0
873, -1, 0
749, -1, 0
875, -1, 0
250, 0, -1
375, -1, 0
750, -1, 0
750, -1, 0
627, -1, 0
624, -1, 0
131, 0, -1
369, -1, 0
750, -1, 0
500, -1, 0
376, 0, -1
249, -1, 0
554, -1, 0
570, -1, 0
250, 0, -1
407, -1, 0
593, -1, 0
665, -1, -1
860, -1, 0
608, -1, 0
123, 0, -1
759, -1, 0
1024, -1, 0
211, 0, -1
530, -1, 0
970, -1, 0
702, 0, -1
173, -1, 0
907, -1, 0
95, 0, -1
748, -1, 0
785, 0, -1
340, -1, 0
1035, -1, -1
916, -1, -1
929, -1, -1
874, 0, -1
250, -1, 0
408, 0, -1
592, -1, 0
249, 0, -1
684, 0, -1
481, -1, 0
87, 0, -1
781, 0, -1
595, -1, -1
532, 0, -1
748, 0, -1
467, -1, 0
127, 0, -1
498, 0, -1
658, 0, -1
496, 0, -1
629, -1, -1
466, 0, -1
540, 0, -1
618, 0, -1
467, 0, -1
533, 0, -1
501, 0, -1
499, 0, -1
469, 0, -1
532, 0, -1
499, 0, -1
343, 0, -1
531, 0, -1
469, 0, -1
374, 0, -1
503, 0, -1
533, 0, -1
339, 0, -1
534, 0, -1
499, 1, -1
342, 0, -1
409, 0, -1
498, 0, -1
344, 0, -1
249, 1, 0
250, 0, -1
375, 0, -1
540, 0, -1
88, 1, 0
247, 0, -1
378, 0, -1
498, 0, -1
129, 1, 0
248, 0, -1
509, 0, -1
467, 1, -1
274, 0, -1
374, 0, -1
249, 1, 0
126, 0, -1
372, 0, -1
375, 1, 0
129, 0, -1
377, 0, -1
372, 1, -1
373, 0, -1
375, 1, -1
500, 0, -1
250, 1, -1
413, 0, -1
339, 1, -1
519, 0, -1
250, 1, 0
157, 0, -1
331, 0, -1
128, 1, 0
240, 0, -1
379, 1, -1
371, 0, -1
257, 1, 0
133, 0, -1
382, 0, -1
109, 1, 0
248, 0, -1
375, 1, -1
373, 0, -1
127, 1, 0
247, 0, -1
261, 1, 0
114, 0, -1
374, 0, -1
127, 1, 0
246, 0, -1
250, 1, 0
126, 0, -1
387, 1, -1
486, 1, -1
377, 0, -1
128, 1, 0
251, 0, -1
244, 1, 0
128, 0, -1
249, 1, 0
128, 0, -1
374, 1, -1
500, 1, -1
376, 1, -1
246, 0, -1
251, 1, 0
251, 0, -1
129, 1, 0
260, 0, -1
236, 1, 0
130, 0, -1
244, 1, 0
275, 0, -1
231, 1, 0
121, 0, -1
246, 1, 0
127, 0, -1
249, 1, 0
126, 0, -1
247, 1, 0
128, 0, -1
398, 1, 0
102, 0, -1
248, 1, 0
249, 0, -1
128, 1, 0
125, 0, -1
247, 1, 0
251, 0, -1
129, 1, 0
246, 0, -1
249, 1, 0
257, 0, -1
127, 1, 0
246, 0, -1
130, 1, 0
244, 0, -1
132, 1, 0
372, 1, -1
376, 1, 0
127, 0, -1
241, 1, 0
131, 0, -1
245, 1, 0
249, 0, -1
131, 1, 0
246, 1, -1
380, 1, -1
493, 1, -1
376, 1, -1
406, 1, 0
94, 0, -1
125, 1, 0
248, 0, -1
128, 1, 0
247, 0, -1
127, 1, 0
402, 1, 0
98, 0, -1
127, 1, 0
247, 0, -1
127, 1, 0
374, 0, -1
126, 1, 0
248, 1, 0
127, 0, -1
246, 1, 0
129, 0, -1
247, 1, 0
251, 0, -1
127, 1, 0
372, 1, -1
251, 1, 0
249, 0, -1
127, 1, 0
249, 0, -1
127, 1, 0
372, 1, -1
251, 1, 0
250, 0, -1
127, 1, 0
371, 1, -1
375, 1, 0
129, 0, -1
125, 1, 0
373, 1, -1
375, 1, 0
126, 0, -1
248, 1, 0
249, 0, -1
129, 1, 0
397, 1, 0
101, 0, -1
248, 1, 0
249, 1, -1
400, 1, 0
103, 0, -1
248, 1, 0
249, 0, -1
254, 1, 0
249, 1, 0
131, 0, -1
125, 1, 0
495, 1, -1
377, 1, 0
129, 0, -1
244, 1, 0
376, 1, -1
249, 1, 0
251, 0, -1
249, 1, 0
374, 1, -1
376, 1, -1
377, 1, 0
372, 1, 0
128, 0, -1
249, 1, 0
372, 0, -1
127, 1, 0
248, 1, 0
249, 0, -1
250, 1, 0
377, 1, -1
374, 1, 0
249, 0, -1
128, 1, 0
497, 1, -1
375, 1, 0
375, 1, -1
501, 1, 0
249, 0, -1
251, 1, 0
248, 1, 0
255, 0, -1
249, 1, 0
372, 0, -1
250, 1, 0
376, 1, 0
249, 0, -1
128, 1, 0
497, 1, 0
250, 0, -1
250, 1, 0
504, 1, 0
126, 0, -1
497, 1, 0
375, 0, -1
125, 1, 0
523, 1, 0
474, 0, -1
128, 1, 0
647, 1, 0
226, 0, -1
254, 1, 0
622, 1, 0
500, 0, -1
132, 1, 0
618, 1, 0
665, 0, -1
91, 1, 0
923, 1, 0
571, 1, 0
374, 0, -1
500, 1, 0
1165, 1, 0
753, 0, -1
332, 1, 0
1501, 1, 0
2167, 1, 0
9772, 0, -1
1988, -1, 0
6013, 0, -1
810, -1, 0
4805, -1, 0
2069, 0, -1
2567, -1, 0
3734, -1, 0
2995, -1, 0
1955, -1, 0
2680, -1, 0
445, 0, 1
1418, -1, 0
1375, 0, 1
83, -1, 0
1749, -1, 0
125, 0, 1
1418, -1, 0
204, 0, 1
1037, -1, 0
659, 0, 1
811, -1, 0
499, 0, 1
800, -1, 0
571, 0, 1
377, -1, 0
789, 0, 1
460, -1, 0
774, 0, 1
352, -1, 0
652, 0, 1
97, -1, 0
1030, -1, 1
876, 0, 1
94, -1, 0
749, -1, 1
906, -1, 0
95, 0, 1
778, -1, 0
97, 0, 1
623, -1, 0
406, 0, 1
497, -1, 0
221, 0, 1
529, -1, 0
221, 0, 1
405, -1, 0
402, 0, 1
476, -1, 0
217, 0, 1
377, -1, 0
373, 0, 1
250, -1, 0
542, 0, 1
212, -1, 0
501, 0, 1
130, -1, 0
619, -1, 1
664, -1, 1
585, 0, 1
131, -1, 0
619, -1, 1
500, -1, 1
624, -1, 0
128, 0, 1
374, -1, 0
313, 0, 1
311, -1, 0
247, 0, 1
250, -1, 0
250, 0, 1
250, -1, 0
404, 0, 1
221, -1, 0
375, 0, 1
128, -1, 0
497, -1, 1
533, -1, 1
497, 0, 1
97, -1, 0
374, -1, 0
127, 0, 1
526, -1, 1
502, -1, 1
345, -1, 0
249, 0, 1
250, -1, 0
250, 0, 1
250, -1, 0
250, 0, 1
250, -1, 0
404, 0, 1
98, -1, 0
387, 0, 1
115, -1, 0
373, -1, 1
510, -1, 1
491, -1, 1
375, -1, 0
131, 0, 1
368, -1, 0
131, 0, 1
369, -1, 0
133, 0, 1
243, -1, 0
250, 0, 1
250, -1, 0
250, 0, 1
131, -1, 0
370, 0, 1
125, -1, 0
373, -1, 1
376, -1, 0
129, 0, 1
246, -1, 0
249, 0, 1
373, -1, 0
128, 0, 1
247, -1, 0
250, 0, 1
128, -1, 0
373, 0, 1
127, -1, 0
373, 0, 1
127, -1, 0
377, -1, 1
373, -1, 0
127, 0, 1
372, -1, 0
126, 0, 1
247, -1, 0
250, 0, 1
250, -1, 0
250, 0, 1
128, -1, 0
373, 0, 1
131, -1, 0
403, -1, 1
340, -1, 0
128, 0, 1
405, -1, 0
217, 0, 1
128, -1, 0
247, 0, 1
250, -1, 0
404, 0, 1
98, -1, 0
248, 0, 1
129, -1, 0
404, -1, 1
500, -1, 0
95, 0, 1
406, -1, 0
93, 0, 1
251, -1, 0
250, 0, 1
130, -1, 0
494, -1, 1
375, 0, 1
131, -1, 0
374, -1, 0
128, 0, 1
367, -1, 0
131, 0, 1
369, -1, 0
131, 0, 1
369, -1, 0
250, 0, 1
127, -1, 0
372, -1, 0
128, 0, 1
372, 0, 1
127, -1, 0
375, -1, 0
126, 0, 1
372, -1, 0
375, 0, 1
128, -1, 0
372, 0, 1
128, -1, 0
497, -1, 1
500, -1, 0
