offset, x, y
2513, 1, 0
1979, 0, 1
2229, 1, 0
9389, -1, 0
16652, 0, -1
63258, -1, 0
67750, 0, -1
42831, -1, 0
4607, 1, 0
1622, 1, 0
1119, 1, 0
1256, 1, 0
996, 0, 1
253, 1, 0
1112, 1, 0
1268, 0, 1
752, 1, 0
1653, 1, 0
1726, 1, 1
1523, 1, 0
1600, 1, 0
1373, 1, 0
1500, 1, 0
2273, 1, 0
2007, 1, 0
2078, 1, 0
2422, 0, -1
839, 1, 0
4794, 1, 0
82, 0, -1
17932, 1, 0
3479, 1, -1
2889, 1, 0
2613, 1, 0
102, 0, -1
2522, 1, 0
89, 0, -1
2252, 0, -1
1624, 0, -1
622, 1, 0
876, 0, -1
1431, 0, -1
1359, 0, -1
1748, -1, -1
628, 0, -1
837, 0, -1
1126, 0, -1
496, -1, 0
486, 0, -1
999, 0, -1
1001, 0, -1
250, -1, 0
626, 0, -1
1039, -1, -1
872, 0, -1
212, -1, 0
643, 0, -1
732, -1, 0
249, 0, -1
751, 0, -1
127, -1, 0
873, 0, -1
127, -1, 0
752, 0, -1
247, -1, 0
498, 0, -1
500, -1, 0
408, 0, -1
499, -1, 0
218, 0, -1
1259, -1, 0
244, 0, -1
125, -1, 0
125, 0, -1
529, -1, 0
218, 0, -1
532, -1, 0
372, 0, -1
347, -1, 0
500, 0, -1
127, -1, 0
782, -1, -1
746, -1, -1
751, -1, 0
218, 0, -1
250, -1, 0
534, 0, -1
216, -1, 0
658, -1, -1
591, -1, 0
376, 0, -1
249, -1, 0
626, -1, 0
136, 0, -1
399, -1, 0
625, -1, -1
623, -1, 0
503, -1, -1
497, -1, 0
501, 0, -1
102, -1, 0
522, -1, 0
500, -1, 0
341, 0, -1
137, -1, 0
647, -1, 0
341, -1, 0
250, 0, -1
250, -1, 0
1052, -1, 0
213, -1, 0
122, 0, -1
125, -1, 0
489, -1, 0
403, -1, 0
471, -1, 0
137, 0, -1
395, -1, 0
393, -1, 0
326, -1, 0
533, -1, 0
343, -1, 0
127, 0, -1
247, -1, 0
535, -1, 0
340, -1, 0
406, -1, 0
343, -1, 0
376, -1, 0
252, 0, -1
126, -1, 0
497, -1, 0
409, -1, 0
341, -1, 0
375, -1, 0
250, -1, 0
406, -1, 0
344, -1, 0
250, 0, -1
127, -1, 0
407, -1, 0
341, -1, 0
408, -1, 0
216, -1, 0
376, -1, 0
407, -1, 0
342, -1, 0
250, -1, 0
391, -1, 0
392, -1, 0
217, -1, 0
412, -1, 0
339, -1, 0
249, -1, 0
410, -1, 0
215, -1, -1
410, -1, 0
376, -1, 0
520, -1, 0
198, -1, 0
125, -1, 0
247, -1, 0
374, -1, 0
250, -1, 0
251, -1, 0
405, -1, 0
219, -1, 0
408, -1, 0
217, -1, 0
250, -1, 0
433, -1, 0
195, -1, 0
252, -1, 0
372, -1, 0
248, -1, 0
251, -1, 0
405, -1, 0
219, -1, 0
250, -1, 0
250, -1, 0
404, -1, 0
222, -1, 0
250, -1, 0
250, -1, 0
249, -1, 0
311, -1, 0
315, -1, 0
249, -1, 0
257, -1, 0
250, -1, 0
245, -1, 0
247, -1, 0
251, -1, 0
252, -1, 0
378, -1, 0
272, -1, 0
223, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
375, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
251, -1, 0
251, -1, 0
249, -1, 0
250, -1, 0
249, -1, 0
375, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
1224, -1, 0
163, -1, 0
124, -3, 0
126, -1, 0
363, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
250, -1, 1
250, -1, 0
375, -1, 0
268, -1, 0
249, -1, 0
234, -1, 0
250, -1, 0
250, -1, 0
374, -1, 0
250, -1, 0
250, -1, 0
251, -1, 0
249, -1, 0
250, -1, 0
377, -1, 0
249, -1, 0
250, -1, 0
251, -1, 0
249, -1, 0
376, -1, 0
248, -1, 0
250, -1, 0
250, -1, 0
260, -1, 0
243, -1, 0
373, -1, 0
250, -1, 0
251, -1, 0
374, -1, 0
250, -1, 0
249, -1, 0
376, -1, 0
250, -1, 0
249, -1, 0
251, -1, 0
249, -1, 0
251, -1, 0
375, -1, 0
250, -1, 0
250, -1, 0
375, -1, 0
249, -1, 0
376, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
374, -1, 0
250, -1, 0
250, -1, 0
820, -1, 0
183, -1, 0
124, -1, 0
248, -1, 0
250, -1, 0
250, -1, 0
250, -1, 0
374, -1, 0
376, -1, 0
249, -1, -1
376, -1, 0
249, -1, 0
376, -1, 0
374, -1, 0
250, -1, 0
376, -1, 0
375, -1, 0
249, -1, 0
439, -1, 0
187, -1, 0
539, -1, -1
211, -1, 0
413, -1, 0
337, -1, 0
375, -1, 0
502, -1, 0
249, -1, 0
499, -1, 0
376, -1, 0
416, -1, 0
334, -1, 0
380, -1, 0
371, 0, -1
139, -1, 0
486, -1, 0
407, -1, 0
505, -1, 0
493, -1, 0
468, -1, 0
539, -1, 0
419, 0, -1
54, -1, 0
675, -1, 0
602, -1, 0
495, -1, 0
1268, -1, 0
211, -1, 0
124, 0, -1
489, -1, 0
931, -1, 0
820, -1, 0
1250, -1, -1
1283, -1, 0
2895, -1, 0
5697, 1, 0
2043, 1, 0
1633, 1, 0
1602, 1, 0
1135, 1, 0
1085, 1, 0
1128, 1, 0
909, 1, 0
795, 1, 0
965, 1, 0
739, 1, 0
766, 1, 0
605, 1, 0
625, 1, 0
613, 1, 0
639, 0, 1
102, 1, 0
489, 1, 0
499, 1, 0
501, 1, 0
657, 1, 0
468, 1, 0
407, 1, 0
968, 1, 0
262, 1, 1
365, 1, 0
376, 1, 0
499, 1, 0
375, 1, 0
535, 1, 0
338, 1, 0
541, 1, 0
334, 1, 0
128, 0, 1
247, 1, 0
375, 1, 0
500, 1, 0
411, 1, 0
214, 1, 0
375, 1, 0
250, 0, 1
251, 1, 0
251, 1, 0
374, 1, 0
412, 1, 0
337, 1, 0
250, 1, 0
250, 0, 1
128, 1, 0
407, 1, 0
340, 1, 0
250, 1, 0
381, 1, 0
247, 1, 1
420, 1, 0
327, 1, 0
250, 1, 0
250, 1, 0
416, 1, 0
87, 0, 1
125, 1, 0
372, 1, 0
250, 1, 0
250, 1, 0
429, 1, 0
196, 1, 0
128, 0, 1
