frequency,avgNoisy,avgData,postFiltering
151.0,135.62991,0.6690158,0.9697335
152.0,140.42023,0.6831044,1.0161107
153.0,139.32507,0.6923806,0.95589364
154.0,145.61852,0.690978,1.0595702
155.0,154.21945,0.723597,1.1852119
156.0,150.3075,0.70715004,1.1306807
157.0,149.0249,0.6892954,1.0573562
158.0,154.78229,0.66507924,1.1132644
159.0,150.90753,0.6554559,0.9737096
160.0,150.67856,0.66047174,1.1068974
161.0,155.36845,0.6733476,1.0182633
162.0,156.26358,0.6630757,1.0704342
163.0,158.17812,0.64698803,1.0841267
164.0,158.35162,0.63227236,1.0874122
165.0,161.387,0.64794236,1.0816201
166.0,161.27264,0.63650984,1.006727
167.0,162.66447,0.62482,1.056465
168.0,167.02682,0.63520676,1.1248496
169.0,164.37383,0.62834066,1.105363
170.0,167.59122,0.6381785,1.0896151
171.0,168.15729,0.6439663,1.0928544
172.0,171.17215,0.6527313,1.1060686
173.0,181.76244,0.7073656,1.3124577
174.0,186.42787,0.7463945,1.4393231
175.0,193.0502,0.78251725,1.4666183
176.0,196.0643,0.8133973,1.5731369
177.0,197.88464,0.83501446,1.6648699
178.0,199.64731,0.8551278,1.7332848
179.0,201.23296,0.85674363,1.6883864
180.0,198.35947,0.83535594,1.6726941
181.0,200.55603,0.8522829,1.5091183
182.0,202.21194,0.8775771,1.6479168
183.0,200.04785,0.8832166,1.6601663
184.0,201.30637,0.9040187,1.7155915
185.0,205.04683,0.91796714,1.8620496
186.0,203.8614,0.91844016,1.7710158
187.0,202.72063,0.92932594,1.8163049
188.0,211.6517,0.95677674,2.0593238
189.0,212.35338,0.9731779,1.9609243
190.0,209.79207,0.9519173,1.8020394
191.0,208.07498,0.968578,1.8770204
192.0,206.18854,0.96735114,1.9635994
193.0,205.78307,0.975117,1.955653
194.0,202.18475,0.98453003,1.9525976
195.0,204.36333,1.0107946,2.0084534
196.0,213.13332,1.0083971,2.0731583
197.0,214.00462,1.0009269,2.0757406
198.0,220.69627,1.0909362,2.3883338
199.0,232.90993,1.1115199,2.5184536
200.0,234.7232,1.0489265,2.3075604
201.0,231.45807,0.97752565,2.03292
202.0,234.66225,1.0151209,2.237701
203.0,244.63443,1.0438182,2.4037418
204.0,261.06543,1.0605097,2.4945524
205.0,278.05722,1.0767395,2.89446
206.0,285.96503,1.0730397,2.7693331
207.0,296.83582,1.0569813,2.8416982
208.0,298.55148,1.0086689,2.8862286
209.0,298.56247,0.94499815,2.616545
210.0,302.27258,0.9440376,2.6573145
211.0,312.36142,0.9691574,2.8366547
212.0,326.12433,0.9971984,2.9057071
213.0,336.7704,1.0085986,3.0487826
214.0,348.0224,1.0113579,3.0737302
215.0,369.46686,1.0701553,3.731684
216.0,386.77542,1.1017267,3.9326339
217.0,407.84143,1.1518935,4.490121
218.0,427.57803,1.208369,4.720745
219.0,433.55173,1.2413682,5.2668085
220.0,413.77652,1.1942433,4.871961
221.0,400.07257,1.1266083,4.118139
222.0,393.05798,1.1018229,4.1834702
223.0,392.15408,1.1229796,4.088834
224.0,387.71832,1.1350397,4.2512627
225.0,380.2909,1.1650323,3.9903073
226.0,373.9525,1.2054788,4.2356796
227.0,369.5401,1.2565545,4.2417808
228.0,348.39807,1.2494272,4.1574674
229.0,333.71484,1.2414726,4.0539455
230.0,326.0122,1.2772675,4.080528
231.0,311.60657,1.2773213,3.8353643
232.0,310.12692,1.2918164,3.8219593
233.0,310.5308,1.3569202,3.8471537
234.0,299.75815,1.3785856,3.8944461
235.0,281.57886,1.3665049,3.6786919
236.0,267.0028,1.3303221,3.1911855
237.0,247.23566,1.2839898,2.8144279
238.0,240.60004,1.2894133,2.876573
239.0,232.48807,1.258636,2.576408
240.0,217.90524,1.1923047,2.2407799
241.0,211.89578,1.1091902,2.2581444
242.0,207.82452,1.138187,2.0961912
243.0,206.9613,1.1842892,2.3286273
244.0,202.8295,1.1583872,2.069616
245.0,196.93898,1.0955753,1.9320805
246.0,194.25044,1.1391214,2.0992725
247.0,188.21234,1.1305971,1.9975302
248.0,190.24396,1.1040769,1.8398305
249.0,187.89749,1.1302485,1.96073
250.0,186.67561,1.1449225,1.9024193
251.0,183.81578,1.0898362,1.8053766
252.0,176.73772,0.99922913,1.5417795
253.0,180.77493,1.0020553,1.6786579
254.0,181.65607,1.0058969,1.706733
255.0,186.57176,0.99384886,1.6415118
256.0,190.06042,0.98767364,1.7070726
257.0,191.26724,0.9807084,1.6235231
258.0,192.77475,0.9666844,1.7249086
259.0,191.46634,0.8985482,1.6623659
260.0,197.26416,0.863911,1.5603362
261.0,201.61444,0.8831567,1.5702895
262.0,211.82704,0.9281787,1.708376
263.0,217.60495,0.9570119,1.8830115
264.0,218.85356,0.9510306,1.792452
265.0,221.37871,0.95152617,1.9138521
266.0,224.41075,0.99282956,1.9376082
267.0,231.19199,1.0206274,2.120441
268.0,226.56607,1.0074447,1.9999778
269.0,230.58466,1.0067163,2.084199
270.0,232.39328,1.0180534,2.1090026
271.0,237.14125,1.0109788,2.1753361
272.0,234.1107,0.9848919,2.0807784
273.0,229.97055,0.9629562,2.0075634
274.0,224.22081,0.9385875,1.7603399
275.0,215.48163,0.90289646,1.769078
276.0,214.59402,0.8756051,1.6679517
277.0,207.3895,0.84045553,1.4607937
278.0,200.69287,0.80399525,1.3876061
279.0,204.50781,0.79706526,1.4063172
280.0,205.82617,0.839862,1.5617248
281.0,202.88103,0.876207,1.6348108
282.0,203.63545,0.88851523,1.6121318
283.0,196.80428,0.8560604,1.5723919
284.0,188.11368,0.8414614,1.4063823
285.0,182.43182,0.811208,1.2907016
286.0,177.02554,0.77584666,1.1994046
287.0,176.60815,0.75446737,1.2443905
288.0,175.39865,0.757056,1.1936563
289.0,170.23694,0.73810416,1.1246946
290.0,169.31287,0.74656564,1.1178029
291.0,165.91374,0.76706886,1.1093715
292.0,167.48729,0.78349155,1.129258
293.0,169.9149,0.7954689,1.148694
294.0,165.46103,0.7996574,1.1159587
295.0,168.55603,0.80052644,1.1865624
296.0,169.28448,0.8105779,1.1387761
297.0,161.52628,0.8006781,1.0573281
298.0,157.89603,0.76448435,1.0875639
299.0,152.8346,0.74081445,1.0182874
300.0,157.47662,0.75289047,1.024825
301.0,153.33118,0.74804574,1.0924051
302.0,148.00867,0.7174973,0.97174907
303.0,144.8021,0.70149773,0.92650783
304.0,145.9288,0.7195747,0.846219
305.0,141.64966,0.71711737,0.9072077
306.0,143.64403,0.72300285,0.891384
307.0,145.056,0.738778,0.84149015
308.0,146.2274,0.7494912,0.9511758
309.0,144.6227,0.7497962,1.0364203
310.0,146.5078,0.7585349,0.9865566
311.0,144.66756,0.76330096,0.96235675
312.0,145.98918,0.75380254,0.9389095
313.0,147.01163,0.7525539,0.94491374
314.0,144.92587,0.7483229,0.9362672
315.0,141.23785,0.7391904,0.9497202
316.0,143.60422,0.73658496,0.8932564
317.0,144.15025,0.74802995,0.90027905
318.0,145.96013,0.7726545,1.0002294
319.0,148.13573,0.8036175,1.0233158
320.0,152.45024,0.81638247,1.1270435
321.0,150.01575,0.80660546,1.0255759
322.0,149.55928,0.7885065,1.0504194
323.0,147.84564,0.78797704,0.9902825
324.0,150.6934,0.7957762,1.0422119
325.0,153.1783,0.8013156,1.0531267
326.0,145.96846,0.77761227,0.92825276
327.0,147.25093,0.7509586,0.8673712
328.0,149.343,0.75536245,0.9271902
329.0,149.1469,0.78322256,0.9631143
330.0,150.72235,0.80055207,0.9970228
331.0,152.87737,0.79536533,1.0556107
332.0,147.52571,0.7932575,1.043172
333.0,153.2367,0.8131474,1.0294489
334.0,153.87616,0.81709,1.0527513
335.0,154.74417,0.8074914,1.122074
336.0,151.1357,0.8082106,1.0158405
337.0,152.83438,0.8180555,1.0020986
338.0,156.88585,0.85014874,1.1167601
339.0,154.6055,0.87778646,1.2427226
340.0,154.42871,0.90404147,1.1687903
341.0,153.67117,0.92681223,1.2171314
342.0,154.39024,0.9197063,1.1600056
343.0,151.51549,0.9205548,1.1645095
344.0,153.53717,0.92657095,1.1528378
345.0,156.96439,0.9488093,1.2712932
346.0,155.78532,0.9732227,1.3806038
347.0,151.8559,0.9490702,1.2049639
348.0,154.66934,0.9141862,1.1492556
349.0,149.66614,0.88773924,1.1259357
350.0,152.79018,0.8764022,1.1517047
351.0,151.61142,0.8759272,1.0713784
352.0,152.01776,0.87937677,1.1215137
353.0,150.69029,0.87291634,1.1076006
354.0,148.41638,0.8551396,1.0777761
355.0,149.5297,0.8468645,1.0319122
356.0,152.34746,0.847199,1.0460975
357.0,152.70016,0.84669435,1.0801078
358.0,152.00327,0.84302455,1.0532056
359.0,155.8656,0.83920765,1.1443753
360.0,155.18805,0.8434782,1.1420002
361.0,158.67526,0.8403154,1.134744
362.0,163.0438,0.8478955,1.1334692
363.0,166.74998,0.87425876,1.2062004
364.0,165.8282,0.8914666,1.2048024
365.0,167.99875,0.89582884,1.2325531
366.0,171.06165,0.89974725,1.24155
367.0,170.40598,0.9098598,1.253795
368.0,172.99178,0.91818994,1.3768365
369.0,174.93976,0.9290406,1.3185563
370.0,174.71828,0.9323753,1.2695334
371.0,174.25327,0.9281636,1.3588679
372.0,180.20923,0.93219084,1.3897594
373.0,181.58804,0.9233594,1.3367692
374.0,180.14777,0.8927751,1.3334196
375.0,179.17804,0.86803263,1.2948304
376.0,181.28307,0.87614894,1.2926097
377.0,180.21329,0.89325273,1.2695369
378.0,182.4028,0.90085137,1.3660537
379.0,182.64749,0.9092746,1.3592501
380.0,180.25449,0.91793764,1.2914288
381.0,184.18323,0.93713206,1.4851508
382.0,185.19193,0.9491743,1.4404547
383.0,189.72453,0.9538045,1.4227281
384.0,185.9755,0.96883625,1.5335191
385.0,183.32286,0.9780842,1.5190679
386.0,177.14723,0.97734225,1.3638422
387.0,175.89828,0.9462482,1.3596514
388.0,174.60977,0.95820475,1.3612156
389.0,176.3105,0.99657094,1.4158578
390.0,178.1452,1.0323195,1.4832424
391.0,179.38,1.0444527,1.6057433
392.0,175.69168,1.0306879,1.4941756
393.0,171.73996,1.0114695,1.3762976
394.0,170.68298,1.0159165,1.4616121
395.0,169.0352,1.0328716,1.4732128
396.0,171.76352,1.0111983,1.3968116
397.0,165.41571,0.9620721,1.3434591
398.0,165.78146,0.95376396,1.3559124
399.0,163.24178,0.960249,1.338117
400.0,163.31088,0.9551717,1.2792548
401.0,167.57849,0.95257616,1.2524801
402.0,161.34961,0.9399178,1.2160139
403.0,157.23254,0.9255129,1.1683158
404.0,156.91647,0.9193812,1.0932636
405.0,156.84583,0.92852014,1.1815498
406.0,150.68951,0.93092537,1.1479223
407.0,150.04282,0.90545374,1.0634652
408.0,149.5812,0.89392203,1.0871536
409.0,152.37935,0.90381444,1.1795604
410.0,151.69403,0.90490586,1.1451074
411.0,149.88986,0.90793735,1.0822299
412.0,151.49577,0.91005933,1.1940858
413.0,152.17026,0.8993931,1.143681
414.0,151.3017,0.8976136,1.0700346
415.0,146.61798,0.8934256,1.0831894
416.0,144.37553,0.8866441,1.0179672
417.0,151.0416,0.8737982,1.0611856
418.0,148.16524,0.8662983,1.0298107
419.0,143.96729,0.8402652,0.9708012
420.0,141.3463,0.8183719,0.9562074
421.0,143.94762,0.8032163,0.94141185
422.0,143.51314,0.7940138,0.88699424
423.0,143.53766,0.79774153,0.94102776
424.0,143.9248,0.80212563,0.9743563
425.0,140.52467,0.7975034,0.9494343
426.0,144.08267,0.7950057,0.9631815
427.0,143.49692,0.7713304,0.92089784
428.0,140.9037,0.7767259,0.8980765
429.0,141.64035,0.7903753,0.88746524
430.0,145.34377,0.7953774,0.9507597
431.0,146.99002,0.79057616,0.97211564
432.0,146.46564,0.79268247,0.9355689
433.0,146.12347,0.79918396,0.9049466
434.0,146.11139,0.8068175,0.96211725
435.0,145.26514,0.8000847,0.98883015
436.0,148.94235,0.78240633,0.93026334
437.0,149.65561,0.756314,0.9653448
438.0,147.47191,0.74843967,0.9180714
439.0,143.59085,0.7610224,0.8954935
440.0,141.35164,0.7719009,0.88921845
441.0,141.04855,0.7748883,0.87811655
442.0,141.52075,0.76464826,0.8888098
443.0,140.24025,0.7625349,0.87726164
444.0,135.83685,0.7710833,0.8339681
445.0,138.46375,0.7874017,0.83776003
446.0,138.09091,0.78797907,0.9058554
447.0,140.0221,0.7655604,0.8585333
448.0,138.07498,0.7477052,0.787771
449.0,137.80487,0.74051034,0.8052236
450.0,132.49384,0.72994256,0.7624715
451.0,132.84564,0.7132217,0.79919046
452.0,135.2977,0.71099836,0.82814765
453.0,138.29303,0.7291922,0.8339653
454.0,135.26485,0.7435891,0.7927549
455.0,131.11513,0.75569785,0.80781084
456.0,134.06735,0.7771224,0.8306899
457.0,137.26782,0.7885758,0.8688321
458.0,135.45529,0.79008025,0.83499885
459.0,134.34772,0.8007458,0.81436294
460.0,135.97339,0.8124531,0.87940174
461.0,132.41933,0.8111816,0.8047713
462.0,132.09096,0.80430466,0.8730836
463.0,131.36115,0.8011401,0.8404155
464.0,129.53339,0.78945994,0.8209598
465.0,131.7802,0.76886475,0.85713047
466.0,132.6932,0.7645213,0.8271521
467.0,134.12082,0.7594318,0.87195253
468.0,132.16797,0.7653566,0.7576266
469.0,133.7366,0.7860339,0.8498293
470.0,127.28503,0.78649837,0.84580904
471.0,130.96204,0.78102064,0.7929644
472.0,131.43195,0.7927926,0.79009163
473.0,131.62856,0.7976805,0.85462815
474.0,129.56932,0.7790693,0.808665
475.0,130.01758,0.7625057,0.80428267
476.0,131.04828,0.7612639,0.8071976
477.0,130.4092,0.7764388,0.7625816
478.0,131.83566,0.79007,0.816831
479.0,131.15195,0.8175915,0.86619943
480.0,128.68134,0.8548311,0.90419894
481.0,127.76104,0.879019,0.8654529
482.0,126.701675,0.87157977,0.8996677
483.0,127.62845,0.8540783,0.8897638
484.0,125.82988,0.8673488,0.8609795
485.0,123.97464,0.8889477,0.872467
486.0,125.97598,0.89046955,0.8807709
487.0,124.43947,0.86176854,0.81475556
488.0,124.99187,0.871867,0.870329
489.0,123.687515,0.8757826,0.80571884
490.0,122.68252,0.8509061,0.84860975
491.0,125.06178,0.83273184,0.8315064
492.0,125.480415,0.8434647,0.81107426
493.0,127.65886,0.81627345,0.806685
494.0,126.60802,0.80465347,0.8051497
495.0,125.32122,0.8061335,0.82013184
496.0,123.1926,0.80556315,0.80917126
497.0,125.01013,0.79935503,0.8451115
498.0,127.1516,0.7656439,0.735083
499.0,122.984055,0.74498373,0.7178179
500.0,124.388306,0.7481114,0.74568754
501.0,125.92621,0.71817416,0.74516404
502.0,122.6817,0.69185287,0.6581283
503.0,125.750595,0.6977946,0.70561594
504.0,126.94064,0.696201,0.68140763
505.0,125.23047,0.68411165,0.72557527
506.0,126.92207,0.67225724,0.67046106
507.0,126.20703,0.6670621,0.6680357
508.0,125.84124,0.6717016,0.6676224
509.0,128.79709,0.68214166,0.7190135
510.0,125.556564,0.7064004,0.69948703
511.0,126.205925,0.7253864,0.72229147
512.0,126.575096,0.7241401,0.7509885
513.0,129.63522,0.7236976,0.73578435
514.0,127.72179,0.71212876,0.7110403
515.0,129.47488,0.6844358,0.67597973
516.0,127.04364,0.67862624,0.72223204
517.0,127.13979,0.6893057,0.74792427
518.0,127.46449,0.68504524,0.6623737
519.0,127.00714,0.6809781,0.6596805
520.0,127.969986,0.6738939,0.6791549
521.0,128.77415,0.6627055,0.6897067
522.0,128.18727,0.64193463,0.65345556
523.0,127.97333,0.6241876,0.6228643
524.0,131.06158,0.6237305,0.68364143
525.0,128.46481,0.6373623,0.67602885
526.0,129.00119,0.6440587,0.6688953
527.0,128.30583,0.64403987,0.6132403
528.0,131.02135,0.6438144,0.6714602
529.0,130.1272,0.6545463,0.6740779
530.0,129.76022,0.6669991,0.6846737
531.0,131.4448,0.67188853,0.68699366
532.0,128.83296,0.6666046,0.7043427
533.0,129.02406,0.64739835,0.64812917
534.0,130.09259,0.626368,0.6408923
535.0,129.66145,0.6041481,0.6278647
536.0,129.6849,0.58510584,0.61039954
537.0,130.76453,0.5743117,0.57392603
538.0,127.94539,0.57351154,0.6130461
539.0,129.59889,0.57574135,0.5487032
540.0,129.08702,0.5792443,0.5498332
541.0,129.84319,0.594292,0.5775292
542.0,131.40843,0.61717993,0.6668056
543.0,130.09406,0.62291306,0.66221404
544.0,131.63777,0.61221725,0.66085047
545.0,131.75777,0.6081403,0.61758035
546.0,132.00009,0.61454815,0.59633833
547.0,131.13168,0.62430495,0.65137213
548.0,131.2884,0.62656283,0.6719085
549.0,132.64635,0.6185517,0.696327
550.0,132.09552,0.602298,0.65206665
551.0,132.00598,0.5827627,0.59406954
552.0,129.88132,0.5943613,0.5846417
553.0,131.41019,0.6177026,0.6440761
554.0,130.35529,0.6266143,0.68095815
555.0,132.26746,0.61767143,0.6321696
556.0,135.08076,0.6018693,0.6139114
557.0,132.50517,0.58343554,0.6015667
558.0,134.0799,0.58218473,0.65963894
559.0,133.67068,0.5758008,0.6106805
560.0,131.33368,0.56336325,0.58510226
561.0,132.78076,0.5577341,0.5757571
562.0,132.7037,0.54713494,0.60014814
563.0,130.32974,0.53521484,0.5922339
564.0,132.57756,0.53597116,0.57524383
565.0,134.08559,0.546731,0.58833086
566.0,130.48322,0.55321324,0.5704583
567.0,133.44337,0.5499963,0.6160379
568.0,132.72449,0.54709834,0.6124709
569.0,133.05661,0.53623873,0.5798644
570.0,133.22905,0.5359649,0.57690555
571.0,131.64545,0.5500284,0.5888948
572.0,129.93619,0.56508625,0.56924075
573.0,130.04993,0.56806785,0.596019
574.0,131.24918,0.5638043,0.58585024
575.0,128.37975,0.56346273,0.568819
576.0,124.93637,0.56428003,0.541641
577.0,126.92146,0.56932634,0.6174683
578.0,131.06061,0.57410103,0.6010373
579.0,127.10762,0.5779737,0.5848897
580.0,130.5285,0.58016074,0.6128191
581.0,130.33157,0.57358986,0.5872677
582.0,129.23407,0.5695061,0.5343357
583.0,130.89972,0.57556975,0.56985915
584.0,133.8045,0.58439654,0.61870056
585.0,131.19717,0.5782706,0.62871224
586.0,131.43253,0.56317854,0.6073853
587.0,130.08598,0.5485171,0.58386606
588.0,130.26314,0.5422682,0.565832
589.0,127.14504,0.53951246,0.54965585
590.0,128.61615,0.5305526,0.5110002
591.0,127.234604,0.52494127,0.5265109
592.0,125.71117,0.5206222,0.49273726
593.0,129.12433,0.5164272,0.5498624
594.0,127.92961,0.5148347,0.5719769
595.0,125.629486,0.50526285,0.5217524
596.0,128.07047,0.48860767,0.5016703
597.0,127.202835,0.4746254,0.49194685
598.0,123.97629,0.4677464,0.4525373
599.0,125.41087,0.45894086,0.45382336
600.0,128.99643,0.4598024,0.4751886
601.0,126.757645,0.46467984,0.46714544
602.0,122.208984,0.46041662,0.4687627
603.0,124.83128,0.44795695,0.4564766
604.0,121.98605,0.44554263,0.4361257
605.0,122.887054,0.45141044,0.4347701
606.0,126.36638,0.46151724,0.4775757
607.0,126.81009,0.46526992,0.5089922
